Lake,Year,Carp (lbs/acre/yr),Buffalo (lbs per acre per year,Total Removed (h),Proportion of Carp,Proportion of Buffalo,Delta TSI (Chla),Delta Chla,Delta TSS,Delta TN,Delta TP,Delta SD,Delta DO,Delta Turbidity,Delta Phytoplankton Total Biomass,Delta Zooplankton Total Biomass,Delta Chlorophyta,Delta Cyanophyta
Center Lake,2011,69.54545454,92.27272727,161.8181818,0.429775281,0.570224719,-5.287555672,-21.33333333,-3.2,-0.536666667,19.16666667,-0.1,-6.333333333,0.6,-4.254317935,-0.446956697,-0.775731374,-3.439268131
Center Lake,2012,97.27272727,50.45454545,147.7272727,0.658461538,0.341538462,-0.785218962,-13.33333333,-5.366666667,0.856666667,-3.4,0.566666667,3.733333333,-4.666666667,-2.814929247,249.1245402,0.65047827,-3.527828177
Center Lake,2013,77.40909091,117.0454545,194.4545454,0.398083217,0.601916783,18.36237936,14.66666667,2.366666667,0.093333333,9.5,-1.033333333,-1.1,2.633333333,-62.32628163,-174.3719398,-1.241084479,-59.86127379
Center Lake,2014,39.54545455,78.18181818,117.7272727,0.335907336,0.664092664,-31.37898328,-23.83333333,1.366666667,-0.17,16.26666667,0.933333333,-0.2,5.8,53.93009532,78.25709883,-1.880687114,80.15845115
Center Lake,2015,77.27272727,106.3636364,183.6363637,0.420792079,0.579207921,13.63967044,28.36666667,-0.433333333,-0.103333333,17.63333333,-0.466666667,-1.7,-2.333333333,-8.083146468,65.15285004,2.273664219,-31.31415397
Five Island Lake,2001,17.63485477,87.39626556,105.0311203,0.167901235,0.832098765,0.789433785,-14.7,-9.666666667,-0.873333333,-13.66666667,0.8,0.5,5,-77.62942,-122.013009,2.815683333,-47.62263333
Five Island Lake,2002,3.112033196,13.73443984,16.84647304,0.184729064,0.815270936,-6.744815714,1.233333333,1.666666667,1.07,21.33333333,0.056666667,-1.266666667,0.333333333,78.08859,-12.22146433,-0.14149,35.11865
Five Island Lake,2003,41.13070539,24.33817428,65.46887967,0.628248194,0.371751806,1.076545751,-14.53333333,1,1.456666667,-7,-0.173333333,-0.1,-2.666666667,-178.4796633,-499.496776,0.79186,-181.0589833
Five Island Lake,2004,23.71058091,60.24585062,83.95643153,0.282415301,0.717584699,-2.88347383,-50.2,3.666666667,-0.123333333,-20.33333333,0.116666667,-0.266666667,4,157.2471,582.3109867,-0.031923333,166.4170433
Five Island Lake,2005,31.01659751,7.287344398,38.30394191,0.809749492,0.190250508,-4.440223135,61.56666667,4.333333333,-1.693333333,31.33333333,0.026666667,1,-26.66666667,-61.26074,39.06911967,0.419033333,-70.49193667
Five Island Lake,2006,24.58506224,6.203319503,30.78838174,0.79851752,0.20148248,6.357999851,-4,-30.66666667,0.073333333,-56.33333333,0.123333333,1.5,13.66666667,68.05349333,2.469683,0.092026667,67.96719333
Five Island Lake,2007,15.06224066,15.97510373,31.03734439,0.485294118,0.514705882,2.971935032,38,46,-2.57,122,0.4,7.433333333,41.33333333,56.75687333,76.06231533,0.26338,54.12056
Five Island Lake,2008,5.046680498,49.37759336,54.42427386,0.092728486,0.907271514,,-20.66666667,-23.06666667,1.205,-95.6,-0.5,-7.333333333,-22.7,-65.72519,-148.553618,-1.139376667,-54.60915
Five Island Lake,2009,5.31846473,85.63485477,90.9533195,0.058474663,0.941525337,4.168104133,-42,-1.166666667,2.218333333,16.3,0.066666667,-0.766666667,3.5,-327.3745699,-31.10328357,-0.802275555,-330.760612
Five Island Lake,2010,0.632780083,13.57883818,14.21161826,0.044525547,0.955474453,-6.799773841,-47.33333333,0.5,1.35,-9.733333333,0,-1.766666667,-6.2,318.1555153,-73.29186439,1.565583423,316.8940912
Five Island Lake,2011,0,0,0,,,-1.345943002,40.33333333,-1.466666667,-2.116666667,-25.63333333,-0.033333333,3.466666667,-11.73333333,-107.0381758,-18.82495406,0.003684808,-109.9469428
Five Island Lake,2012,84.02489627,28.42323652,112.4481328,0.747232472,0.252767528,-2.822161131,25.33333333,3.3,1.703333333,8.133333333,-0.233333333,-1.733333333,10.76666667,74.11774739,73.17943616,0.063693054,73.21908616
Five Island Lake,2013,61.82572614,26.97095436,88.7966805,0.696261682,0.303738318,38.76170088,-0.9,1.666666667,-2.73,-1.733333333,0.1,-0.366666667,0.833333333,42.31746953,-22.42769587,-0.044884892,40.70669182
Five Island Lake,2014,2.489626556,0.31120332,2.800829876,0.888888889,0.111111111,-35.71050211,7,-3.566666667,1.51,25.1,0,-1.233333333,1.1,14.45464163,61.58546817,-0.249222141,14.60159601
Five Island Lake,2015,29.46058091,24.37759336,53.83817427,0.547206166,0.452793834,11.75107769,-2.066666667,-101.8666667,-0.32,83.16666667,0.246666667,1.166666667,-27.56666667,-35.65715481,-0.941244433,-3.716695364,-29.53875045
Ingham Lake,2001,6.486486486,7.810810811,14.2972973,0.4536862,0.5463138,30.97017413,54.93333333,-16.16666667,0.863333333,-38.66666667,0.143333333,0.5,-34.33333333,0.766803333,-205.3781083,1.599263333,-7.209293333
Ingham Lake,2002,1.081081081,5.27027027,6.351351351,0.170212766,0.829787234,-34.73681097,-104.9,-11.33333333,-0.39,-21.66666667,-0.026666667,-0.366666667,-2.333333333,-174.2078233,94.83132833,0.130333333,-167.18482
Ingham Lake,2003,9.283783784,163.5675676,172.8513514,0.05370964,0.94629036,6.847279987,-226.5333333,28.33333333,-0.02,27.66666667,-0.05,-0.433333333,-5,178.8687533,34.61651967,-0.162293333,173.8805133
Ingham Lake,2004,6.608108108,42.36486487,48.97297298,0.134933775,0.865066225,-9.669441118,309.4333333,-24.33333333,0.086666667,-30,0.036666667,-1.7,26.66666667,52.95451667,-403.7630383,-0.30288,54.58580667
Ingham Lake,2005,42.7027027,48.91891891,91.62162161,0.466076696,0.533923304,-7.527407733,-21.16666667,6.333333333,-0.706666667,-4,-0.003333333,3.966666667,20.33333333,-1471.056137,401.8066043,0.497823333,-1472.90118
Ingham Lake,2006,22.97297297,12.7027027,35.67567567,0.643939394,0.356060606,17.1020655,74.23333333,41,-2.123333333,167.6666667,0.283333333,7.766666667,36.33333333,1529.237193,167.3558543,0.245686667,1525.18548
Ingham Lake,2007,36.48648649,85.40540541,121.8918919,0.299334812,0.700665188,1.610970765,-44.33333333,-33.8,2.503333333,-145.2,-0.366666667,-10.16666667,-23.2,-173.5204033,-239.3076067,-1.506833333,-164.0553867
Ingham Lake,2008,1.148648649,4.256756757,5.405405406,0.2125,0.7875,,-55.66666667,7.866666667,-0.123983333,-44.16666667,0.166666667,2.266666667,-3.1,-119.602822,75.05038277,-0.96687001,-121.0661717
Ingham Lake,2009,28.10810811,14.45945946,42.56756757,0.66031746,0.33968254,-5.365980731,-69,-13.03333333,-0.24623,34.4,-0.133333333,-3.066666667,-22.26666667,75.04054604,-27.86056792,0.330210693,74.280386
Ingham Lake,2010,56.5,74.59459459,131.0945946,0.430986496,0.569013504,-1.895205957,-29.33333333,-20.46666667,2.952863333,24.36666667,0.033333333,3.033333333,-1.566666667,-884.9524324,45.83666113,-2.253153563,-876.2147251
Ingham Lake,2011,3.108108108,16.18918919,19.2972973,0.161064426,0.838935574,-4.152795937,59,17.63333333,-0.083316667,-38.7,0,-1.866666667,12.03333333,352.0567768,-61.54136391,-6.091223736,359.5418315
Ingham Lake,2012,1.756756757,41.27027027,43.02702703,0.040829146,0.959170854,-2.378193967,6.366666667,4.966666667,-2.4152,31.93333333,0.033333333,-1.166666667,6.666666667,352.042435,28.28243477,4.255717701,341.7303724
Ingham Lake,2013,59.14864866,93.37837838,152.527027,0.387791264,0.612208736,0.633122892,57.03333333,3.966666667,0.377033333,11.1,-0.1,-1.886666667,7.533333333,-265.3873902,96.66938387,0.52656886,-264.1751726
Ingham Lake,2014,5.324324324,100.1891892,105.5135135,0.050461066,0.949538934,1.412207477,46.5,6.866666667,-0.897833333,126.2666667,-0.066666667,3.286666667,-13.76666667,575.4674435,29.2700733,5.676716721,562.1956494
Ingham Lake,2015,6.524324324,40.81081081,47.33513513,0.137832591,0.862167409,7.396599553,11.83333333,6.333333333,0.086666667,-109,-1.333333333,2.433333333,1.666666667,82.02595667,-241.3664633,-1.42691,83.50049
Lost Island Lake,2001,8.433734939,51.97934596,60.4130809,0.13960114,0.86039886,-2.089731534,-12.3,-1,0.29,-1.333333333,-0.04,0.5,-36,-199.29417,-68.20325767,-0.43555,-200.80568
Lost Island Lake,2002,31.02409639,4.819277109,35.8433735,0.865546218,0.134453782,-3.227186627,-11.2,4.666666667,0.176666667,11.33333333,-0.043333333,-0.366666667,31,157.8009033,263.4812583,-0.12842,157.6300133
Lost Island Lake,2003,49.48364888,18.28743546,67.77108434,0.73015873,0.26984127,4.767963768,5.933333333,-10.66666667,0.026666667,-14.33333333,-0.006666667,-1.533333333,-11.66666667,-599.73642,-71.927444,0.426396667,-599.7412133
Lost Island Lake,2004,24.74182444,9.896729776,34.63855422,0.714285714,0.285714286,-7.813319635,7.433333333,6.333333333,-0.513333333,3,0.096666667,1.633333333,15.66666667,564.79721,78.130838,-0.26583,567.69612
Lost Island Lake,2005,9.638554217,4.561101549,14.19965577,0.678787879,0.321212121,-3.836168448,29.83333333,23.33333333,-1.253333333,75.66666667,0.41,9.266666667,29.33333333,127.0005833,84.014083,1.05901,121.7145467
Lost Island Lake,2006,49.48364889,17.90017211,67.383821,0.734355045,0.265644955,-1.47142809,-16,-24.7,1.341666667,-97.66666667,-0.5,-6.4,-14.86666667,-317.5101567,-152.792592,-1.214083333,-309.34359
Lost Island Lake,2007,0,0,0,,,6.057770808,-5.666666667,6.366666667,-0.655,16.63333333,-0.2,-3.2,5.666666667,51.19721325,-184.7695822,-3.252892863,50.06375104
Lost Island Lake,2008,109.4664372,63.94148021,173.4079174,0.631265509,0.368734491,,-27,2.433333333,0.396666667,1,0.033333333,-0.433333333,-15.36666667,220.3048965,30.25228797,3.951443073,214.6849674
Lost Island Lake,2009,90.18932874,20.05163512,110.2409639,0.818110851,0.181889149,10.84256952,31,4.366666667,0.523333333,15.06666667,-0.433333333,0.933333333,14.53333333,-589.1678438,53.0225672,0.416294608,-590.1848445
Lost Island Lake,2010,169.8674699,125.7994836,295.6669535,0.574523016,0.425476984,1.033586659,-12,-4.2,0,-43.36666667,-0.566666667,0.566666667,-5.666666667,562.8434053,-53.96746957,0.073152673,563.0369748
Lost Island Lake,2011,208.9285714,179.2435456,388.172117,0.538236937,0.461763063,-13.32319138,9.766666667,1.2,-0.48,55.63333333,0.866666667,-1.4,4.733333333,10.3953332,68.83089664,-1.920838452,29.83435048
Lost Island Lake,2012,56.9535284,68.69707401,125.6506024,0.453269044,0.546730956,14.47864296,-5.7,0.466666667,0.296666667,-27.93333333,-0.033333333,-1.993333333,4,-206.304478,-25.42790337,1.74853202,-225.5955818
Lost Island Lake,2013,3.201376937,0.623924269,3.825301206,0.836895388,0.163104612,13.59954768,-10.83333333,-4.266666667,0.986666667,80.63333333,-0.016666667,0.16,-48.03333333,246.8838602,233.8845047,0.058142275,246.3314726
Lost Island Lake,2014,16.00774527,5.938898451,21.94664372,0.729393773,0.270606227,-14.97061234,29.56666667,-1.666666667,3.86,-147.6666667,0.166666667,9.3,30.66666667,21.10347667,-286.479528,0.04767,21.03546
Lost Island Lake,2015,1.105851979,16.1919105,17.29776248,0.063930348,0.936069652,-7.56857439,-2.5,-22.33333333,-4.496666667,34.66666667,0.383333333,-6.466666667,-22.33333333,-404.5332467,148.918055,0.062176667,-402.67851
Silver Lake,2001,0,0,0,,,10.33475508,21.66666667,-2,1.173333333,65.66666667,0.026666667,2.866666667,-120.3333333,12.98595,180.5062843,-0.06893,13.92344667
Silver Lake,2002,4.84496124,0.581395349,5.426356589,0.892857143,0.107142857,1.904670502,85.76666667,17.33333333,0.563333333,2,-0.066666667,-1.633333333,144.6666667,-204.5364867,65.80101167,0.01475,-148.5595967
Silver Lake,2003,0.695736433,0.000968992,0.696705425,0.99860918,0.00139082,7.526773048,-4.233333333,-28.33333333,-0.743333333,-33,0.276666667,1.2,-13.66666667,187.4945367,-206.7834543,0.077476667,134.2110467
Silver Lake,2004,21.24127907,12.57751938,33.81879845,0.628090886,0.371909114,-12.81432872,9.7,42.33333333,-3.713333333,108.6666667,0.356666667,9.333333333,49,24.94140667,304.6713773,0.013443333,21.14419333
Silver Lake,2005,8.593023256,4.389534885,12.98255814,0.661889834,0.338110166,10.47551658,-10.66666667,-16.63333333,3.24,-67.1,-1.033333333,-6.433333333,-15.53333333,-81.44538,-168.6382093,-0.003556667,-81.14788667
Silver Lake,2006,14.8255814,6.589147287,21.41472869,0.692307692,0.307692308,-3.258232922,-15,8.8,-1.543333333,-27.46666667,0.233333333,-3.466666667,4.666666667,23.69552752,-759.2278768,-0.008014414,23.60827962
Silver Lake,2007,0.678294574,0.096899225,0.775193799,0.875,0.125,-11.05769134,10.33333333,-34.43333333,1.43,-21.1,0.2,1.166666667,-27,-90.21856771,428.6021467,-0.2113082,-88.91592016
Silver Lake,2008,0,0,0,,,,-11.66666667,23.13333333,-0.736666667,79.36666667,-0.133333333,0.333333333,16.56666667,57.98120741,308.6482081,0.219073522,56.7640807
Silver Lake,2009,0,0,0,,,15.25091712,0,10.46666667,-0.156666667,-91.8,-0.566666667,-2.833333333,11.06666667,53.60131411,-282.7646389,-0.015851116,55.57200114
Silver Lake,2010,19.76744186,3.100775194,22.86821705,0.86440678,0.13559322,-15.78858592,9,-1.6,-0.603333333,-85.93333333,0.1,2.733333333,1.2,-44.22237354,-273.5368671,0.00489056,-46.33440302
Silver Lake,2011,0,0,0,,,-7.734766705,-13.36666667,-6.596666667,0.23,-33.66666667,0.433333333,-1.906666667,-9.033333333,58.81189538,-188.4433624,-0.015206349,58.95489385
Silver Lake,2012,7.170542636,2.131782946,9.302325582,0.770833333,0.229166667,3.124031102,31.36666667,16.86333333,-1.86,247.7,0.766666667,10.40666667,18.06666667,21.79637684,935.3605996,0.029972664,21.49895452
Silver Lake,2013,21.60852713,10.46511628,32.07364341,0.673716012,0.326283988,13.59954768,0,0,0,0,0,0,0,0,0,0,0
Silver Lake,2014,29.55426358,12.5,42.05426358,0.702764977,0.297235023,12.37169725,0,0,0,0,0,0,0,0,0,0,0
Silver Lake,2015,11.43410853,2.034883721,13.46899225,0.848920863,0.151079137,-5.571923409,0,0,0,0,0,0,0,0,0,0,0
