"Lake","Year","Carp Kg/Hectare/Year","Buffalo Kg/Hectare/Year","Total Removed Kg (h)","Proportion.of.Carp","Proportion.of.Buffalo","Delta.TSI..Chla.","Delta.Chla","Delta.TSS","Delta.TN","Delta.TP","Delta.SD","Delta.DO","Delta.Turbidity","Delta.Phytoplankton.Total.Biomass","Delta.Zooplankton.Total.Biomass","Delta.Chlorophyta","Delta.Cyanophyta"
"Five Island Lake","2014",2.22119512512825,0.277649391087121,2.49884451621537,0.888888889,0.111111111,-35.71050211,7,-3.566666667,1.51,25.1,0,-1.233333333,1.1,14.45464163,61.58546817,-0.249222141,14.60159601
"Five Island Lake","2015",26.2841423116385,21.7492022661373,48.0333445777758,0.547206166,0.452793834,11.75107769,-2.066666667,-101.8666667,-0.32,83.16666667,0.246666667,1.166666667,-27.56666667,-35.65715481,-0.941244433,-3.716695364,-29.53875045
"Ingham Lake","1999",11.3330978275416,10.8508383458982,22.1839361734398,0.510869565,0.489130435,NA,-32.1,111.6666667,-0.666666667,-196,-0.58,0,28,57.26803,-2792.531305,4.29177,50.22583667
"Ingham Lake","2000",227.505910692778,96.9703253780613,324.476236070839,0.701148144,0.298851856,NA,-13.6,-9.833333333,0.136666667,95,0.55,-1.166666667,-17.66666667,-87.08162,2863.439901,-1.98021,-77.14835333
"Ingham Lake","2001",5.78711378507383,6.96864951688451,12.7557633019583,0.4536862,0.5463138,30.97017413,54.93333333,-16.16666667,0.863333333,-38.66666667,0.143333333,0.5,-34.33333333,0.766803333,-205.3781083,1.599263333,-7.209293333
"Ingham Lake","2002",0.964518964178971,4.70202995048401,5.66654891466298,0.170212766,0.829787234,-34.73681097,-104.9,-11.33333333,-0.39,-21.66666667,-0.026666667,-0.366666667,-2.333333333,-174.2078233,94.83132833,0.130333333,-167.18482
"Ingham Lake","2003",8.28280660570103,145.931719320159,154.21452592586,0.05370964,0.94629036,6.847279987,-226.5333333,28.33333333,-0.02,27.66666667,-0.05,-0.433333333,-5,178.8687533,34.61651967,-0.162293333,173.8805133
"Ingham Lake","2004",5.89562216888968,37.7970869161797,43.6927090850694,0.134933775,0.865066225,-9.669441118,309.4333333,-24.33333333,0.086666667,-30,0.036666667,-1.7,26.66666667,52.95451667,-403.7630383,-0.30288,54.58580667
"Ingham Lake","2005",38.0984990855155,43.6444831244145,81.74298220993,0.466076696,0.533923304,-7.527407733,-21.16666667,6.333333333,-0.706666667,-4,-0.003333333,3.966666667,20.33333333,-1471.056137,401.8066043,0.497823333,-1472.90118
"Ingham Lake","2006",20.4960279876879,11.3330978275416,31.8291258152295,0.643939394,0.356060606,17.1020655,74.23333333,41,-2.123333333,167.6666667,0.283333333,7.766666667,36.33333333,1529.237193,167.3558543,0.245686667,1525.18548
"Ingham Lake","2007",32.5525150466164,76.1969981799527,108.749513226569,0.299334812,0.700665188,1.610970765,-44.33333333,-33.8,2.503333333,-145.2,-0.366666667,-10.16666667,-23.2,-173.5204033,-239.3076067,-1.506833333,-164.0553867
"Ingham Lake","2008",1.02480139983049,3.79779342195655,4.82259482178704,0.2125,0.7875,NA,-55.66666667,7.866666667,-0.123983333,-44.16666667,0.166666667,2.266666667,-3.1,-119.602822,75.05038277,-0.96687001,-121.0661717
"Ingham Lake","2009",25.077493072222,12.9004411473435,37.9779342195655,0.66031746,0.33968254,-5.365980731,-69,-13.03333333,-0.24623,34.4,-0.133333333,-3.066666667,-22.26666667,75.04054604,-27.86056792,0.330210693,74.280386
"Ingham Lake","2010",50.4081723691841,66.5518085292412,116.959980898425,0.430986496,0.569013504,-1.895205957,-29.33333333,-20.46666667,2.952863333,24.36666667,0.033333333,3.033333333,-1.566666667,-884.9524324,45.83666113,-2.253153563,-876.2147251
"Ingham Lake","2011",2.77299202212607,14.4436714903868,17.2166635125128,0.161064426,0.838935574,-4.152795937,59,17.63333333,-0.083316667,-38.7,0,-1.866666667,12.03333333,352.0567768,-61.54136391,-6.091223736,359.5418315
"Ingham Lake","2012",1.5673433171254,36.8205114600526,38.387854777178,0.040829146,0.959170854,-2.378193967,6.366666667,4.966666667,-2.4152,31.93333333,0.033333333,-1.166666667,6.666666667,352.042435,28.28243477,4.255717701,341.7303724
"Ingham Lake","2013",52.7712438417273,83.3103255386537,136.081569380381,0.387791264,0.612208736,0.633122892,57.03333333,3.966666667,0.377033333,11.1,-0.1,-1.886666667,7.533333333,-265.3873902,96.66938387,0.52656886,-264.1751726
"Ingham Lake","2014",4.75025589864835,89.3867950216354,94.1370509202837,0.050461066,0.949538934,1.412207477,46.5,6.866666667,-0.897833333,126.2666667,-0.066666667,3.286666667,-13.76666667,575.4674435,29.2700733,5.676716721,562.1956494
"Ingham Lake","2015",5.8208719489673,36.4105908997636,42.2314628487309,0.137832591,0.862167409,7.396599553,11.83333333,6.333333333,0.086666667,-109,-1.333333333,2.433333333,1.666666667,82.02595667,-241.3664633,-1.42691,83.50049
"Lost Island Lake","1999",145.981231832984,35.5873880715528,181.568619904537,0.804000338,0.195999662,NA,-20.9,-7.333333333,-0.47,41.66666667,1.466666667,-1.366666667,-36.33333333,-224.9807767,185.2263567,-0.478386667,-200.2171833
"Lost Island Lake","2000",41.7681534282018,5.83525672926797,47.6034101574698,0.877419355,0.122580645,NA,18.8,4.333333333,-0.41,-7,-0.116666667,-1,44,181.24256,-175.7547683,1.278556667,157.9861233
"Lost Island Lake","2001",7.52440999152429,46.3749350582148,53.899345049739,0.13960114,0.86039886,-2.089731534,-12.3,-1,0.29,-1.333333333,-0.04,0.5,-36,-199.29417,-68.20325767,-0.43555,-200.80568
"Lost Island Lake","2002",27.6790796181469,4.29966285319177,31.9787424713387,0.865546218,0.134453782,-3.227186627,-11.2,4.666666667,0.176666667,11.33333333,-0.043333333,-0.366666667,31,157.8009033,263.4812583,-0.12842,157.6300133
"Lost Island Lake","2003",44.1483239327296,16.31568493554,60.4640088682696,0.73015873,0.26984127,4.767963768,5.933333333,-10.66666667,0.026666667,-14.33333333,-0.006666667,-1.533333333,-11.66666667,-599.73642,-71.927444,0.426396667,-599.7412133
"Lost Island Lake","2004",22.0741619663648,8.82966478654593,30.9038267529107,0.714285714,0.285714286,-7.813319635,7.433333333,6.333333333,-0.513333333,3,0.096666667,1.633333333,15.66666667,564.79721,78.130838,-0.26583,567.69612
"Lost Island Lake","2005",8.59932570549137,4.06932377124504,12.6686494767364,0.678787879,0.321212121,-3.836168448,29.83333333,23.33333333,-1.253333333,75.66666667,0.41,9.266666667,29.33333333,127.0005833,84.014083,1.05901,121.7145467
"Lost Island Lake","2006",44.1483239416514,15.9701763036981,60.1185002453495,0.734355045,0.265644955,-1.47142809,-16,-24.7,1.341666667,-97.66666667,-0.5,-6.4,-14.86666667,-317.5101567,-152.792592,-1.214083333,-309.34359
"Lost Island Lake","2007",0,0,0,NA,NA,6.057770808,-5.666666667,6.366666667,-0.655,16.63333333,-0.2,-3.2,5.666666667,51.19721325,-184.7695822,-3.252892863,50.06375104
"Lost Island Lake","2008",97.6637705312932,57.0473124949815,154.711083026275,0.631265509,0.368734491,NA,-27,2.433333333,0.396666667,1,0.033333333,-0.433333333,-15.36666667,220.3048965,30.25228797,3.951443073,214.6849674
"Lost Island Lake","2009",80.4651190971138,17.889668662176,98.3547877592898,0.818110851,0.181889149,10.84256952,31,4.366666667,0.523333333,15.06666667,-0.433333333,0.933333333,14.53333333,-589.1678438,53.0225672,0.416294608,-590.1848445
"Lost Island Lake","2010",151.552366418343,112.23578855333,263.788154971673,0.574523016,0.425476984,1.033586659,-12,-4.2,0,-43.36666667,-0.566666667,0.566666667,-5.666666667,562.8434053,-53.96746957,0.073152673,563.0369748
"Lost Island Lake","2011",186.401901592541,159.917514029531,346.319415622073,0.538236937,0.461763063,-13.32319138,9.766666667,1.2,-0.48,55.63333333,0.866666667,-1.4,4.733333333,10.3953332,68.83089664,-1.920838452,29.83435048
"Lost Island Lake","2012",50.8128013561137,61.2901583708792,112.102959726993,0.453269044,0.546730956,14.47864296,-5.7,0.466666667,0.296666667,-27.93333333,-0.033333333,-1.993333333,4,-206.304478,-25.42790337,1.74853202,-225.5955818
"Lost Island Lake","2013",2.85620460989428,0.556652780479101,3.41285739037338,0.836895388,0.163104612,13.59954768,-10.83333333,-4.266666667,0.986666667,80.63333333,-0.016666667,0.16,-48.03333333,246.8838602,233.8845047,0.058142275,246.3314726
"Lost Island Lake","2014",14.2817908462328,5.29856666904581,19.5803575152786,0.729393773,0.270606227,-14.97061234,29.56666667,-1.666666667,3.86,-147.6666667,0.166666667,9.3,30.66666667,21.10347667,-286.479528,0.04767,21.03546
"Lost Island Lake","2015",0.986619064995316,14.4460993888567,15.432718453852,0.063930348,0.936069652,-7.56857439,-2.5,-22.33333333,-4.496666667,34.66666667,0.383333333,-6.466666667,-22.33333333,-404.5332467,148.918055,0.062176667,-402.67851
"Silver Lake","1999",0,0,0,NA,NA,NA,-2.3,26.66666667,0.813333333,11,-0.633333333,-0.566666667,8,385.5956333,-136.0521767,0.007323333,383.9092967
"Silver Lake","2000",10.659476665031,9.17250992550297,19.831986590534,0.537489102,0.462510898,NA,-101.2333333,-13.66666667,0.133333333,-41.33333333,0.34,-2.266666667,-21,-1.6935,-39.61427867,-0.01366,-1.812836667
"Silver Lake","2001",0,0,0,NA,NA,10.33475508,21.66666667,-2,1.173333333,65.66666667,0.026666667,2.866666667,-120.3333333,12.98595,180.5062843,-0.06893,13.92344667
"Silver Lake","2002",4.32257772226435,0.518709326850158,4.84128704911451,0.892857143,0.107142857,1.904670502,85.76666667,17.33333333,0.563333333,2,-0.066666667,-1.633333333,144.6666667,-204.5364867,65.80101167,0.01475,-148.5595967
"Silver Lake","2003",0.620722159967882,0.00086451532319222,0.621586675291074,0.99860918,0.00139082,7.526773048,-4.233333333,-28.33333333,-0.743333333,-33,0.276666667,1.2,-13.66666667,187.4945367,-206.7834543,0.077476667,134.2110467
"Silver Lake","2004",18.9510452513717,11.2214117678548,30.1724570192265,0.628090886,0.371909114,-12.81432872,9.7,42.33333333,-3.713333333,108.6666667,0.356666667,9.333333333,49,24.94140667,304.6713773,0.013443333,21.14419333
"Silver Lake","2005",7.6665238488647,3.9162554177633,11.582779266628,0.661889834,0.338110166,10.47551658,-10.66666667,-16.63333333,3.24,-67.1,-1.033333333,-6.433333333,-15.53333333,-81.44538,-168.6382093,-0.003556667,-81.14788667
"Silver Lake","2006",13.2270878351251,5.87870570281483,19.10579353794,0.692307692,0.307692308,-3.258232922,-15,8.8,-1.543333333,-27.46666667,0.233333333,-3.466666667,4.666666667,23.69552752,-759.2278768,-0.008014414,23.60827962
"Silver Lake","2007",0.605160881473881,0.0864515546237231,0.691612436097605,0.875,0.125,-11.05769134,10.33333333,-34.43333333,1.43,-21.1,0.2,1.166666667,-27,-90.21856771,428.6021467,-0.2113082,-88.91592016
"Silver Lake","2008",0,0,0,NA,NA,NA,-11.66666667,23.13333333,-0.736666667,79.36666667,-0.133333333,0.333333333,16.56666667,57.98120741,308.6482081,0.219073522,56.7640807
"Silver Lake","2009",0,0,0,NA,NA,15.25091712,0,10.46666667,-0.156666667,-91.8,-0.566666667,-2.833333333,11.06666667,53.60131411,-282.7646389,-0.015851116,55.57200114
"Silver Lake","2010",17.6361171075523,2.76644974260606,20.4025668501584,0.86440678,0.13559322,-15.78858592,9,-1.6,-0.603333333,-85.93333333,0.1,2.733333333,1.2,-44.22237354,-273.5368671,0.00489056,-46.33440302
"Silver Lake","2011",0,0,0,NA,NA,-7.734766705,-13.36666667,-6.596666667,0.23,-33.66666667,0.433333333,-1.906666667,-9.033333333,58.81189538,-188.4433624,-0.015206349,58.95489385
"Silver Lake","2012",6.39741502966499,1.90193419815319,8.29934922781817,0.770833333,0.229166667,3.124031102,31.36666667,16.86333333,-1.86,247.7,0.766666667,10.40666667,18.06666667,21.79637684,935.3605996,0.029972664,21.49895452
"Silver Lake","2013",19.2786966409421,9.33676788151849,28.6154645224606,0.673716012,0.326283988,13.59954768,0,0,0,0,0,0,0,0,0,0,0
"Silver Lake","2014",26.3677241200874,11.1522505241558,37.5199746442432,0.702764977,0.297235023,12.37169725,0,0,0,0,0,0,0,0,0,0,0
"Silver Lake","2015",10.2012834277557,1.81548264352946,12.0167660712852,0.848920863,0.151079137,-5.571923409,0,0,0,0,0,0,0,0,0,0,0
