Lake,Year,Treatment,Delta.Chla,Delta.TSS,Delta.TN,Delta.TP,Delta.SD,Delta.Turbidity,Delta.Phytoplankton.Total.Biomass,Delta.Zooplankton.Total.Biomass,Delta.Chlorophyta,Delta.Cyanophyta
Lost Island Lake,2007,Not Harvested,-7.433333333,-6.333333333,-0.513333333,-3,-0.096666667,-564.79721,-78.130838,0.26583,-567.69612,567.69612
Lost Island Lake,2010,H/H,5.666666667,-6.366666667,-0.655,-16.63333333,0.2,-51.19721325,184.7695822,3.252892863,-50.06375104,50.06375104
Lost Island Lake,2011,H/H,27,-2.433333333,0.396666667,-1,-0.033333333,-220.3048965,-30.25228797,-3.951443073,-214.6849674,214.6849674
Lost Island Lake,2012,H/H,-31,-4.366666667,0.523333333,-15.06666667,0.433333333,589.1678438,-53.0225672,-0.416294608,590.1848445,-590.1848445
Lost Island Lake,2014,L/L,-9.766666667,-1.2,-0.48,-55.63333333,-0.866666667,-10.3953332,-68.83089664,1.907795531,-29.83435048,29.83435048
Lost Island Lake,2015,L/L,5.7,-0.466666667,0.296666667,27.93333333,0.033333333,206.304478,25.42790337,-1.74853202,225.5955818,-225.5955818
Silver Lake (Dickinson),2002,L/L,-0.933333333,22.33333333,-4.496666667,-34.66666667,-0.383333333,404.5332467,-148.918055,-0.232135,604.086285,-402.67851
Silver Lake (Dickinson),2003,L/L,2.3,-26.66666667,0.813333333,-11,0.633333333,-385.5956333,136.0521767,-0.010985,-575.863945,383.9092967
Silver Lake (Dickinson),2004,L/L,101.2333333,13.66666667,0.133333333,41.33333333,-0.34,1.6935,39.61427867,0.02049,-7.64029,-1.812836667
Silver Lake (Dickinson),2005,L/L,-21.66666667,2,1.173333333,-65.66666667,-0.026666667,-12.98595,-180.5062843,0.103395,-13.92344667,13.92344667
Silver Lake (Dickinson),2006,L/L,-85.76666667,-17.33333333,0.563333333,-2,0.066666667,204.5364867,-65.80101167,0.114255,148.5595967,-148.5595967
Silver Lake (Dickinson),2007,L/L,4.233333333,28.33333333,-0.743333333,33,-0.276666667,-187.4945367,206.7834543,-0.252595,-134.2110467,134.2110467
Silver Lake (Dickinson),2010,L/L,15,-8.8,-1.543333333,27.46666667,-0.233333333,-23.69552752,759.2278768,0.000901081,-23.60827962,23.60827962
Silver Lake (Dickinson),2011,Not Harvested,-10.33333333,34.43333333,1.43,21.1,-0.2,90.21856771,-428.6021467,0.322747841,88.91592016,-88.91592016
Silver Lake (Dickinson),2012,L/L,11.66666667,-23.13333333,-0.736666667,-6.766666667,-0.2,-57.98120741,-308.6482081,-0.322901645,-56.7640807,56.7640807
Silver Lake (Dickinson),2014,L/L,-9,1.6,-0.603333333,85.93333333,-0.1,44.22237354,273.5368671,-0.014718998,29.27468034,-46.33440302
Silver Lake (Dickinson),2015,L/L,13.36666667,6.596666667,0.23,33.66666667,-0.433333333,-58.81189538,188.4433624,0.015206349,-58.95489385,58.95489385
Crystal Lake,2002,Not Harvested,68.46666667,2,1.503333333,25.33333333,0.016666667,-10,-3240.730493,-187.395903,1.209688333,-3245.253327
Crystal Lake,2003,Not Harvested,81.13333333,-2,-1.2,114.6666667,-0.3,47.33333333,2454.881557,11.36563167,0.161036667,2453.320143
Crystal Lake,2004,Not Harvested,-63.23333333,4.333333333,-0.363333333,-176,-0.2,-13,535.4889533,-151.417497,-0.0472,535.2283567
Crystal Lake,2005,Not Harvested,-136.9333333,1,0.366666667,-168.3333333,0.366666667,14.33333333,-1197.618043,16.236734,0.05793,-1196.027813
Crystal Lake,2006,Not Harvested,79.43333333,-25.33333333,0.366666667,77,-0.016666667,-309.3333333,1391.788703,321.9933347,-0.315686667,1397.68658
Crystal Lake,2007,Not Harvested,43.63333333,26.5,-1.355,280.6666667,0.033333333,285.1666667,156.5097983,-127.8734745,-0.346993333,152.3641167
Crystal Lake,2010,Not Harvested,17,2.066666667,-0.536316667,-34.86666667,-0.1,-0.866666667,-146.8238313,-210.032119,0.009204535,-155.7640987
Crystal Lake,2011,Not Harvested,-37,-5.133333333,-0.0363,68.1,0.4,-6.266666667,158.7215186,221.8736934,-0.006063713,158.8026508
Crystal Lake,2012,Not Harvested,-36,-0.566666667,0.60995,-153.5666667,0.333333333,-4.133333333,-45.29537852,10.785845,-3.271750541,-35.04750457
Crystal Lake,2013,Not Harvested,20,-6.133333333,-0.785016667,43.23333333,0.333333333,-2.7,13.10277306,125.7192234,2.676770615,7.706331623
Crystal Lake,2014,Not Harvested,1.866666667,5.5,0.251083333,55.96666667,-0.866666667,2.3,8.078181473,-110.5131783,-0.544746363,8.376698573
Little Wall Lake,2002,Not Harvested,85.41666667,107.8333333,-1.896666667,179,-0.283333333,38.66666667,1.480563333,164.008545,5.295205,-6.827878333
Little Wall Lake,2003,Not Harvested,6.75,-7.166666667,0.163333333,-16.66666667,0.106666667,-4.666666667,-129.39755,-32.49006067,-0.296981667,-129.733375
Little Wall Lake,2004,Not Harvested,-31.43333333,-3.833333333,0.543333333,-7.666666667,0.026666667,-240.3333333,48.61173,-149.8688683,-0.089356667,48.62303333
Little Wall Lake,2005,Not Harvested,-19.5,-6.833333333,1.03,20.33333333,-0.05,246.6666667,-23.2088,487.2756603,-3.22847,-13.85318
Little Wall Lake,2006,Not Harvested,15.53333333,11,-2,-10.33333333,0.023333333,-15.66666667,-548.16634,-40.95927867,3.5053,-555.5663
Little Wall Lake,2007,Not Harvested,25.56666667,21,1.103333333,25.66666667,-0.1,7.333333333,189.4768933,106.5952573,-0.53316,191.3900133
Little Wall Lake,2011,Not Harvested,-25.66666667,11.33333333,-0.335711111,10.53333333,-0.066666667,-12.13333333,287.4691234,-101.2979399,0.305824273,286.7654159
Little Wall Lake,2012,Not Harvested,-1,-28.93333333,-0.705677778,-42.76666667,0.066666667,0.433333333,-38.76506602,71.280618,-1.228312208,-31.61606549
Little Wall Lake,2013,Not Harvested,-29,-72.73333333,0.00665,-51.2,0.133333333,-52.9,2.783382357,80.84399683,-1.559806862,9.044022037
Little Wall Lake,2015,Not Harvested,79.46666667,46.47,0.60575,36.26666667,-0.033333333,13.4,-143.1764161,127.3017256,7.942707151,-146.1153418
Silver Lake (Worth),2002,Not Harvested,-31.25,4.666666667,-0.42,-76.66666667,0.3,-36,-32.10436333,56.34387767,-2.148145,-30.72984
Silver Lake (Worth),2003,Not Harvested,44.1,-5.666666667,-1.596666667,19.33333333,-0.3,41,-1329.74718,-445.3587343,0.840086667,-1330.518293
Silver Lake (Worth),2004,Not Harvested,-81.56666667,-13,1.136666667,-7.666666667,0.326666667,-191.3333333,1132.79341,340.194244,0.8346,1136.825977
Silver Lake (Worth),2005,Not Harvested,-183.9333333,-24.33333333,1.136666667,9.333333333,-0.043333333,194.3333333,-1187.751347,-71.19729833,-1.722116667,-1189.80196
Silver Lake (Worth),2006,Not Harvested,205.9,12,-0.873333333,20,-0.026666667,-25.5,1042.028073,157.379545,1.74922,1038.462703
Silver Lake (Worth),2007,Not Harvested,-28.2,-18.33333333,0.043333333,-80.33333333,0.1,-57.16666667,93.50791667,39.61219067,0.240186667,95.01321333
Silver Lake (Worth),2010,Not Harvested,-9.333333333,-23.06666667,-1.723333333,-56.76666667,0.066666667,-3.3,-797.8950739,-461.2054247,0.46758805,-800.2710614
Silver Lake (Worth),2014,Not Harvested,55.86666667,2.4,0.593333333,362.9333333,-0.516666667,0.883333333,4.803441141,-182.2901292,2.669401762,-1.018984784
Silver Lake (Worth),2015,Not Harvested,-49.06666667,-12.08666667,-0.596666667,6.766666667,0.8,-4.933333333,-25.03690416,434.4690189,-0.296448992,-16.45625382
Swan Lake,2003,Not Harvested,55.9,18.33333333,-0.42,36.33333333,-0.083333333,5,443.7939433,73.45686667,0.104936667,435.8919933
Swan Lake,2004,Not Harvested,-97.23333333,11.33333333,-1.126666667,59.33333333,0.033333333,-23.33333333,-153.23114,-391.4345763,-1.175536667,-150.93624
Swan Lake,2005,Not Harvested,87.93333333,50,1.94,-61.66666667,-1.316666667,47.33333333,-129.02238,371.755453,0.57605,-127.6765
Swan Lake,2006,Not Harvested,-27.56666667,-3,-0.706666667,-190.3333333,0.626666667,63.33333333,441.9243467,53.685377,-0.08824,439.4440467
Swan Lake,2007,Not Harvested,-43.83333333,-38.33333333,0.77,47,0.23,-47.66666667,-405.67793,21.57251667,0.54631,-406.51068
Swan Lake,2010,Not Harvested,12.66666667,6.4,-2.798316667,19.23333333,-0.1,14.66666667,-237.7211385,-201.1376854,-4.300366277,-231.8581118
Swan Lake,2011,Not Harvested,-30.66666667,2.066666667,2.660183889,73.46666667,0.1,-3.9,729.0228853,-550.3611445,1.76551558,724.0601375
Swan Lake,2012,Not Harvested,45,0.733333333,-0.506650556,30.36666667,-0.166666667,11.43333333,-1383.751115,-133.2116145,-3.087496664,-1369.533497
Swan Lake,2013,Not Harvested,8.666666667,17.96666667,0.902120971,159.75,-0.233333333,14.33333333,1430.121818,159.4554035,3.590203525,1422.948844
Swan Lake,2014,Not Harvested,10.23333333,9.7,-0.063170971,-407.3166667,-0.466666667,7.433333333,-30.38544362,657.7861324,0.248851296,-27.42740222
Swan Lake,2015,Not Harvested,-71.8,-7.873333333,-0.8367,173.4333333,0.466666667,-13.63333333,-43.45907973,-21.84617331,1.803495975,-49.41329135
