Lake,Year,Delta.TSI..Chla.,Delta.Chla,Delta.TSS,Delta.TN,Delta.TP,Delta.SD,Delta.Turbidity,Delta.Phytoplankton.Total.Biomass,Delta.Zooplankton.Total.Biomass,Delta.Chlorophyta,Delta.Cyanophyta
Five Island Lake,2005,-2.88347383,50.2,6.166666667,-0.123333333,20.33333333,-0.116666667,-157.2471,-582.3109867,-0.339335,-166.4170433,166.4170433
Five Island Lake,2006,-4.440223135,-61.56666667,-6.5,-1.693333333,-31.33333333,-0.026666667,61.26074,-39.06911967,-0.419033333,70.49193667,-70.49193667
Five Island Lake,2007,6.357999851,4,23,0.073333333,56.33333333,-0.123333333,-68.05349333,-2.469683,-0.092026667,-67.96719333,67.96719333
Five Island Lake,2010,4.168104133,42,1.166666667,2.218333333,-16.3,-0.066666667,327.3745699,31.10328357,0.802275555,330.760612,-330.760612
Five Island Lake,2011,-6.799773841,47.33333333,-0.5,1.35,9.733333333,0,-318.1555153,73.29186439,-1.565583423,-316.8940912,316.8940912
Five Island Lake,2012,-1.345943002,-40.33333333,1.466666667,-2.116666667,25.63333333,0.033333333,107.0381758,18.82495406,-0.003684808,109.9469428,-109.9469428
Five Island Lake,2013,-2.822161131,-25.33333333,-3.3,1.703333333,-8.133333333,0.233333333,-74.11774739,-73.17943616,-0.063693054,-73.21908616,73.21908616
Five Island Lake,2014,38.76170088,0.9,-1.666666667,-2.73,1.733333333,-0.1,-42.31746953,22.42769587,0.044884892,-40.70669182,40.70669182
Five Island Lake,2015,-35.71050211,-7,3.566666667,1.51,-25.1,0,-14.45464163,-61.58546817,0.249222141,-14.60159601,14.60159601
Ingham Lake,2001,0,11.95,-111.6666667,-0.666666667,0,0.58,-57.26803,2712.342427,-4.277908333,-50.22583667,50.22583667
Ingham Lake,2002,0,13.6,9.833333333,0.136666667,-95,-0.55,87.08162,-2863.439901,1.966348333,77.14835333,-77.14835333
Ingham Lake,2003,30.97017413,-54.93333333,16.16666667,0.863333333,38.66666667,-0.143333333,-0.766803333,205.3781083,-1.394928333,7.209293333,-7.209293333
Ingham Lake,2004,-34.73681097,104.9,11.33333333,-0.39,21.66666667,0.026666667,174.2078233,-94.83132833,-0.1955,167.18482,-167.18482
Ingham Lake,2005,6.847279987,226.5333333,-16.83333333,-0.02,-27.66666667,0.05,-178.8687533,-34.61651967,0.023125,-173.8805133,173.8805133
Ingham Lake,2006,-9.669441118,-309.4333333,12.83333333,0.086666667,30,-0.036666667,-52.95451667,403.7630383,0.30288,-54.58580667,54.58580667
Ingham Lake,2007,-7.527407733,21.16666667,-6.333333333,-0.706666667,4,0.003333333,1471.056137,-401.8066043,-0.497823333,1472.90118,-1472.90118
Ingham Lake,2010,0,55.66666667,-7.866666667,-0.123983333,44.16666667,-0.166666667,119.602822,-75.05038277,0.96687001,121.0661717,-121.0661717
Ingham Lake,2011,-5.365980731,69,13.03333333,-0.24623,-34.4,0.133333333,-75.04054604,27.86056792,-0.330210693,-74.280386,74.280386
Ingham Lake,2012,-1.895205957,29.33333333,20.46666667,2.952863333,-24.36666667,-0.033333333,884.9524324,-45.83666113,2.253153563,876.2147251,-876.2147251
Ingham Lake,2013,-4.152795937,-59,-17.63333333,-0.083316667,38.7,0,-352.0567768,61.54136391,6.091223736,-359.5418315,359.5418315
Ingham Lake,2014,-2.378193967,-6.366666667,-4.966666667,-2.4152,-31.93333333,-0.033333333,-352.042435,-28.28243477,-4.255717701,-341.7303724,341.7303724
Ingham Lake,2015,0.633122892,-57.03333333,-3.966666667,0.377033333,-11.1,0.1,265.3873902,-96.66938387,-0.52656886,264.1751726,-264.1751726
Lost Island Lake,2001,7.396599553,-3.033333333,-6.333333333,0.086666667,0,1.333333333,-82.02595667,214.566162,2.097065,-83.50049,83.50049
Lost Island Lake,2002,0,12.1,7.333333333,-0.47,-8,-1.466666667,224.9807767,-185.2263567,-0.249501667,200.2171833,-200.2171833
Lost Island Lake,2003,0,-18.8,-4.333333333,-0.41,-26.66666667,0.116666667,-181.24256,175.7547683,-0.950753333,-157.9861233,157.9861233
Lost Island Lake,2004,-2.089731534,12.3,1,0.29,1.333333333,0.04,199.29417,68.20325767,0.107746667,200.80568,-200.80568
Lost Island Lake,2005,-3.227186627,11.2,-4.666666667,0.176666667,-11.33333333,0.043333333,-157.8009033,-263.4812583,0.12842,-157.6300133,157.6300133
Lost Island Lake,2006,4.767963768,-5.933333333,10.66666667,0.026666667,14.33333333,0.006666667,599.73642,71.927444,-0.426396667,599.7412133,-599.7412133
Lost Island Lake,2007,-7.813319635,-7.433333333,-6.333333333,-0.513333333,-3,-0.096666667,-564.79721,-78.130838,0.26583,-567.69612,567.69612
Lost Island Lake,2010,6.057770808,5.666666667,-6.366666667,-0.655,-16.63333333,0.2,-51.19721325,184.7695822,3.252892863,-50.06375104,50.06375104
Lost Island Lake,2011,0,27,-2.433333333,0.396666667,-1,-0.033333333,-220.3048965,-30.25228797,-3.951443073,-214.6849674,214.6849674
Lost Island Lake,2012,10.84256952,-31,-4.366666667,0.523333333,-15.06666667,0.433333333,589.1678438,-53.0225672,-0.416294608,590.1848445,-590.1848445
Lost Island Lake,2013,1.033586659,12,4.2,0,43.36666667,0.566666667,-562.8434053,53.96746957,-0.060109752,-563.0369748,563.0369748
Lost Island Lake,2014,-13.32319138,-9.766666667,-1.2,-0.48,-55.63333333,-0.866666667,-10.3953332,-68.83089664,1.907795531,-29.83435048,29.83435048
Lost Island Lake,2015,14.47864296,5.7,-0.466666667,0.296666667,27.93333333,0.033333333,206.304478,25.42790337,-1.74853202,225.5955818,-225.5955818
Silver Lake,2001,-14.97061234,-26.13333333,1.666666667,3.86,0,-0.166666667,-21.10347667,270.9958827,-0.14301,-21.03546,21.03546
Silver Lake,2002,-7.56857439,-0.933333333,22.33333333,-4.496666667,-34.66666667,-0.383333333,404.5332467,-148.918055,-0.232135,604.086285,-402.67851
Silver Lake,2003,0,2.3,-26.66666667,0.813333333,-11,0.633333333,-385.5956333,136.0521767,-0.010985,-575.863945,383.9092967
Silver Lake,2004,0,101.2333333,13.66666667,0.133333333,41.33333333,-0.34,1.6935,39.61427867,0.02049,-7.64029,-1.812836667
Silver Lake,2005,10.33475508,-21.66666667,2,1.173333333,-65.66666667,-0.026666667,-12.98595,-180.5062843,0.103395,-13.92344667,13.92344667
Silver Lake,2006,1.904670502,-85.76666667,-17.33333333,0.563333333,-2,0.066666667,204.5364867,-65.80101167,0.114255,148.5595967,-148.5595967
Silver Lake,2007,7.526773048,4.233333333,28.33333333,-0.743333333,33,-0.276666667,-187.4945367,206.7834543,-0.252595,-134.2110467,134.2110467
Silver Lake,2010,-3.258232922,15,-8.8,-1.543333333,27.46666667,-0.233333333,-23.69552752,759.2278768,0.000901081,-23.60827962,23.60827962
Silver Lake,2011,-11.05769134,-10.33333333,34.43333333,1.43,21.1,-0.2,90.21856771,-428.6021467,0.322747841,88.91592016,-88.91592016
Silver Lake,2012,0,11.66666667,-23.13333333,-0.736666667,-6.766666667,0.133333333,-57.98120741,-308.6482081,-0.322901645,-56.7640807,56.7640807
Silver Lake,2013,15.25091712,0,-10.46666667,-0.156666667,19.2,0.566666667,-53.60131411,282.7646389,0.018068036,-38.51227847,55.57200114
Silver Lake,2014,-15.78858592,-9,1.6,-0.603333333,85.93333333,-0.1,44.22237354,273.5368671,-0.014718998,29.27468034,-46.33440302
Silver Lake,2015,-7.734766705,13.36666667,6.596666667,0.23,33.66666667,-0.433333333,-58.81189538,188.4433624,0.015206349,-58.95489385,58.95489385
