Round,Lake Name,Sampling Date & Time,Year,Total Alkalinity (mg/L as CaCO3),Chlorophyll a (free of pheophytin) (µg/L),Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L),Involatile (Inorganic) Suspended Solids (mg/L),TN (mg/L),Total Phosphorus as P (µg/L),Soluble Reactive Phosphorus as P (µg/L),NO3+NO2 as N (Cadmium-reduced) (mg/L),Lake Depth at Sampling Site (m),Secchi Transparency at Sampling Site (m),Epilimnetic Average Temperature (°C),Epilimnetic Average pH,Epilimnetic Average Dissolved Oxygen (% Saturation),Epilimnetic Average Dissolved Oxygen (mg/L),Epilimnetic Average Specific Conductivity (uS/cm),Epilimnetic Average Total Dissolved Solids (g/L),Epilimnetic Average Turbidity (NTU),Phytoplankton Total Biomass (mg/L),Zooplankton Total Biomass (µg/L),Chlorophyta,Cyanophyta
1,(019) Center Lake (Dickinson ) ,6/2/2010 15:54,2010,155,7,11.4,4.5,6.8,0.25,68.3,15.8,0.25,4.7,0.6,20.8,8.1,82,7.3,640,,14.7,21.75176085,188.72,,21.74645983
2,(019) Center Lake (Dickinson ) ,7/20/2010 13:38,2010,137,6,2.5,4.5,2,2.11,144.8,93.7,0.25,4.7,2.4,26.9,8.2,31.5,2.5,590,,2,4.916558436,592.4773379,0.041650846,4.179060787
3,(019) Center Lake (Dickinson ) ,9/2/2010 8:30,2010,142,31,2.5,4.5,2,2.39,157.5,63.3,0.25,4.5,0.6,23.8,8.8,78,6.6,540,,20.1,57.1302871,245.0153593,0.011350905,56.98856759
1,(019) Center Lake (Dickinson ) ,5/31/2011 15:50,2011,159,12,7.8,4,2.5,0.97,59.4,5.5,0.2,4.7,1.4,19,8.6,116.3,10.8,560,0.4,4.5,26.65308722,290.3403201,2.330392134,23.70499742
2,(019) Center Lake (Dickinson ) ,7/18/2011 14:36,2011,145,37,7.8,4,2.5,0.25,102.5,21.8,0.2,4.9,1.6,29.4,8.9,168.2,12.9,510,0.3,9.6,46.66419119,646.238484,0.049803739,46.41118819
3,(019) Center Lake (Dickinson ) ,8/30/2011 7:40,2011,127,59,10.4,10.4,2.5,1.92,151.2,50,0.2,4.3,0.9,23.9,9.3,139.3,11.7,520,0.3,20.9,23.24428178,90.97476319,,23.11570699
1,(019) Center Lake (Dickinson ) ,5/30/2012 13:08,2012,160,13,11,5.6,5.4,2,87,18.2,0.03,4.8,0.9,19.9,8.2,86.4,7.9,390,0.6,12.9,38.64371379,109.5312919,0.364339934,37.98553498
2,(019) Center Lake (Dickinson ) ,7/16/2012 12:34,2012,169,44,11.1,5.3,5.8,2.04,124.6,70.9,0.03,4.6,0.8,27.6,8.5,104.2,8.2,390,0.6,17.7,21.71730578,87.62483875,,21.4326983
3,(019) Center Lake (Dickinson ) ,8/31/2012 12:07,2012,164,91,20,9.5,10.5,1.67,111.7,42.4,0.03,4.5,0.5,23.7,8.6,95.8,8.1,390,0.6,18.4,44.64532836,83.02381607,0.06442113,44.39714385
1,(019) Center Lake (Dickinson ) ,5/29/2013 7:23,2013,157,2,1.4,1.2,1.6,1.92,58,7,0.15,4.6,3.8,15.7,8.4,99.3,9.8,600,0.4,1.5,4.358980653,218.9988132,4.011055961,0.0166623
2,(019) Center Lake (Dickinson ) ,7/16/2013 7:20,2013,148,56,14,12.4,1.6,2.33,121.4,7,0.07,4.7,1,25.6,8.7,117.3,9.6,610,0.4,17.7,258.4613039,334.8328386,0.005867786,258.1688926
3,(019) Center Lake (Dickinson ) ,8/28/2013 8:38,2013,140,46,19.6,11.6,8,1.74,115.4,16.9,0.07,4.5,0.5,26.2,8.8,100.9,8.1,610,0.4,21.9,29.16490828,249.4641144,0.135090755,25.2136436
1,(019) Center Lake (Dickinson ) ,6/3/2014 12:03,2014,153,49,11,5.7,5.3,1.48,54.6,2.8,0.03,4.5,1,21.8,8.7,148.7,13,630,0.4,6.2,20.50365262,259.7811016,2.641648966,0.617462559
2,(019) Center Lake (Dickinson ) ,7/22/2014 8:22,2014,131,77.8,11.3,9.3,1.1,1.62,89.9,2.8,0.03,4.4,0.8,24.1,8.8,102.4,8.6,560,0.4,8.2,81.28058355,134.0370778,6.046113824,23.51987333
3,(019) Center Lake (Dickinson ) ,9/3/2014 10:19,2014,130,48.7,8.6,5.2,3.4,2.38,101.5,2.8,0.03,4.6,0.7,22.8,8.2,75.6,6.5,580,0.4,9.3,28.41067069,174.7062903,1.106313053,18.78650915
1,(019) Center Lake (Dickinson ) ,6/2/2015 9:01,2015,161,12.2,6.2,2.7,3.5,1.62,35,2.2,0.03,4.5,2.8,17.3,8.4,135.4,13,660,0.4,3,3.734650515,200.0638212,1.047730759,0.066174722
2,(019) Center Lake (Dickinson ) ,7/21/2015 9:16,2015,135,59,11.4,7.9,3.5,2.03,76.1,2.2,0.03,4.5,0.6,25.4,8.3,92.6,7.58,660,0.43,10.2,70.94312788,12.41425027,0.515348021,62.12054139
3,(019) Center Lake (Dickinson ) ,9/2/2015 10:00,2015,135,19.2,14.6,12.8,1.8,1.52,82,2.2,0.03,4.6,0.5,21.6,8.8,143.5,12.62,620,0.4,17.5,79.76656787,160.5878481,1.410004407,74.67959084
1,(036) Five Island Lake (Palo Alto ) ,6/15/2000 8:00,2000,181,19.4,20,10,10,1.63,,,0.36,5.5,0.84,20.3,8.3,93,8.4,438,,6,8.90944,,0.15559,4.0365
2,(036) Five Island Lake (Palo Alto ) ,7/13/2000 0:00,2000,186,,14,2,12,1.55,,,0.25,5.2,0.88,28,8.6,98,7.7,,,17,9.50191,86.501727,0.03978,5.85926
3,(036) Five Island Lake (Palo Alto ) ,8/7/2000 14:45,2000,172,27.1,26,12,14,1.57,,,0.17,5.5,0.68,26,8.7,111,9,400,,21,21.10746,63.793181,5.95255,10.09545
1,(036) Five Island Lake (Palo Alto ) ,5/17/2001 0:00,2001,138,5.7,19,4,15,2.37,146,,1.37,6.2,2.1,20.3,8.3,99,8.9,371,,61,22.59725,144.506044,2.65396,0.81357
2,(036) Five Island Lake (Palo Alto ) ,6/14/2001 0:00,2001,144,17.9,20,8,12,3.29,67,,2.18,5.5,0.85,21.7,8.7,92,8.1,371,,24,17.90455,17.697365,0.011,9.64894
3,(036) Five Island Lake (Palo Alto ) ,7/19/2001 0:00,2001,124,28.5,10,9,2,2.32,19,,0.96,6.1,1.1,27.7,8.9,120,9.4,591,,20,87.8269,36.339157,9.96075,62.88717
1,(036) Five Island Lake (Palo Alto ) ,5/23/2002 0:00,2002,151,9.8,17,6,11,1.74,88,3,0.46,5.8,0.7,21.9,,104,9.1,425,,8,5.42198,214.135584,0.74913,0.4773
2,(036) Five Island Lake (Palo Alto ) ,6/20/2002 0:00,2002,172,35.6,34,7,26,2.18,97,6,0.83,4.3,0.35,22.4,7.9,89,7.8,548,,51,325.7791,269.75105,2.92597,189.41607
3,(036) Five Island Lake (Palo Alto ) ,7/25/2002 9:15,2002,167,50.8,27,13,13,1.44,88,2,0.2,5.5,0.6,25.7,8.4,97,8,457,,31,30.01588,80.694959,0.50356,26.32421
1,(036) Five Island Lake (Palo Alto ) ,5/22/2003 9:30,2003,150,20.1,25,6,19,3.14,79,4,2.64,6.5,0.63,15.7,8.9,86,8.5,522,,42,11.37267,228.369967,3.0757,0.10231
2,(036) Five Island Lake (Palo Alto ) ,6/19/2003 8:40,2003,128,31.9,30,9,21,3.8,76,4,2.1,6.4,0.45,22.8,8.8,89,7.6,473,,27,11.02067,293.569306,0.34144,7.50899
3,(036) Five Island Lake (Palo Alto ) ,7/23/2003 17:30,2003,100,40.5,18,14,4,1.63,54,0.5,0.13,5.2,0.4,27.1,8.9,158,12.6,418,,20,104.55785,79.306713,1.18599,103.25033
1,(036) Five Island Lake (Palo Alto ) ,5/20/2004 9:30,2004,127,35.6,11,7,4,1.95,59,0.5,0.55,6.2,0.95,17.3,8.6,109,10.5,485,,17,47.27737,182.111752,,47.27737
2,(036) Five Island Lake (Palo Alto ) ,6/17/2004 8:45,2004,160,42.8,32,11,21,5.94,87,0.5,4.35,6,0.65,21.6,8.7,82,7.2,468,,54,334.99439,183.237362,1.5057,328.35824
3,(036) Five Island Lake (Palo Alto ) ,7/21/2004 15:00,2004,132,57.7,27,20,7,5.05,84,0.5,2.08,6.6,0.4,29.1,8.7,147,11.3,403,,26,280.11842,1734.3872,0.72185,278.40297
1,(036) Five Island Lake (Palo Alto ) ,5/26/2005 9:45,2005,209,37.6,36,19,18,5.79,106,,4.23,6.3,0.5,17.7,8.3,78,7.5,515,,55,22.25898,70.439622,0.84605,4.3167
2,(036) Five Island Lake (Palo Alto ) ,6/22/2005 11:15,2005,194,67.3,23,11,12,4.59,69,0.5,3.1,6.3,0.75,26.5,8.7,131,10.5,496,,7,102.78996,201.104216,0.67955,96.72354
3,(036) Five Island Lake (Palo Alto ) ,7/25/2005 15:30,2005,147,181.8,,,,2.19,116,0.5,0.57,6,0.4,29.5,9,155,11.8,423,,23,65.59994,81.259516,0.79772,53.74721
1,(036) Five Island Lake (Palo Alto ) ,6/8/2006 16:30,2006,216,36.2,28,10,18,3.91,73,2,2.25,6,0.55,23.6,8.6,100,8.5,540,,44,14.05707,196.243106,0.37552,9.30938
2,(036) Five Island Lake (Palo Alto ) ,6/20/2006 12:00,2006,190,35.2,,,,2.31,60,0.5,0.83,5.6,0.47,22.5,8.8,99,8.6,488,,30,315.11448,10.228761,0.0977,314.18814
3,(036) Five Island Lake (Palo Alto ) ,7/25/2006 13:25,2006,163,30.6,18,12,6,1.27,64,0.5,0.16,5.3,0.55,26.5,8.5,120,9.7,469,,91,45.25955,29.124128,0.593,42.76574
1,(036) Five Island Lake (Palo Alto ) ,5/22/2007 12:00,2007,181,63.9,69,23,46,4.4,116,2.5,2.48,4.8,0.35,20.6,8,98,8.8,455,,37,93.79068,104.027613,0.00706,92.60231
2,(036) Five Island Lake (Palo Alto ) ,6/19/2007 12:00,2007,180,26,29,11,18,2.62,81,2.5,1.02,7.4,0.6,23.7,7.9,78,6.6,475,,35,12.63111,73.856635,0.21515,6.47847
3,(036) Five Island Lake (Palo Alto ) ,7/25/2007 11:30,2007,159,24.1,40,28,12,0.69,169,2.5,0.29,5.6,0.25,26.9,8.2,87,6.9,465,,52,63.84883,50.302698,0.56793,63.2809
1,(036) Five Island Lake (Palo Alto ) ,6/4/2009 8:39,2009,173,17,19.7,4,12.6,0.375,74.8,4.5,0.62,6.4,0.5,18.5,8.6,85.7,8,430,,19.2,22.31972,90.812714,0.44744,19.58999
2,(036) Five Island Lake (Palo Alto ) ,7/8/2009 10:20,2009,161,18,24,10,14,1.55,79.5,4.5,0.25,5.6,0.6,23.8,8.4,82.9,7,450,,16.7,73.79285,225.156462,2.35548,61.97137
3,(036) Five Island Lake (Palo Alto ) ,8/5/2009 8:39,2009,160,27,25.5,12.8,12.8,1.69,132.5,4.5,0.25,5.3,0.4,23.4,8.4,82,7,430,,32.2,101.063,129.691678,0.61521,82.26609
1,(036) Five Island Lake (Palo Alto ) ,6/1/2010 9:56,2010,159,34,16.5,9.5,7,5.9,47.6,4,4.22,5.9,0.6,22.2,8.2,104,9,490,,15.5,937.4375537,219.792,4.26748073,930.8181846
2,(036) Five Island Lake (Palo Alto ) ,7/19/2010 12:07,2010,126,43,23.5,9.5,14,3.46,87.9,4,1.78,6.4,0.4,27.2,8,86.2,6.8,370,,16.5,69.19078848,221.2899663,1.207472887,55.624318
3,(036) Five Island Lake (Palo Alto ) ,9/5/2010 11:29,2010,128,111,32.7,20.7,12,0.91,102.4,4,0.25,5.7,0.3,20.2,8.7,94.2,8.5,330,,25.6,172.6709375,97.88873842,0.350003047,169.6667833
1,(036) Five Island Lake (Palo Alto ) ,5/31/2011 10:08,2011,203,39,26.5,8.5,18,7.88,58.9,5.5,4.02,5.1,0.5,19.8,8.4,111.1,10.1,470,0.3,14.4,81.86891203,180.0800502,0.862588817,68.82475753
2,(036) Five Island Lake (Palo Alto ) ,7/18/2011 10:00,2011,161,77,30,14.5,15.5,2.99,80.4,5.5,2.99,5.8,0.5,28.2,8.3,122.1,9.5,400,0.3,20.7,41.10830762,110.5523249,0.228846071,38.53880228
3,(036) Five Island Lake (Palo Alto ) ,8/29/2011 14:14,2011,120,214,14.7,4,11.6,3.45,127.8,5.5,0.2,5.5,0.3,23.7,8.7,118.8,10,300,0.2,41.1,101.8555142,468.2139228,0.036771508,98.06345245
1,(036) Five Island Lake (Palo Alto ) ,5/30/2012 15:08,2012,167,52,23.7,12.6,11.1,2.62,79.1,5,0.4,6.4,0.6,20.1,8.3,95.3,8.6,270,0.4,24.8,447.6401208,365.5560481,0.639457918,441.2480067
2,(036) Five Island Lake (Palo Alto ) ,7/17/2012 8:13,2012,156,90,36.1,20.6,15.6,3.03,184.1,5,0.03,5.5,0.3,27.8,8.3,67.4,5.3,280,0.4,66.9,55.25092702,41.38604038,0.428795837,51.52261607
3,(036) Five Island Lake (Palo Alto ) ,8/31/2012 9:55,2012,150,67,15.8,13.4,2.4,2.32,80.8,16,0.03,5.5,0.5,23.8,8.4,63.3,5.3,250,0.4,19.7,43.05621338,408.3790716,0.048898217,42.49721786
1,(036) Five Island Lake (Palo Alto ) ,5/28/2013 9:35,2013,142,1,6,4,1.6,4.95,91.5,39.8,2.52,5.6,1.4,14.6,7.8,88.3,9,390,0.3,9,2.84359034,183.5169874,0.019282504,0.018267636
2,(036) Five Island Lake (Palo Alto ) ,7/15/2013 9:07,2013,154,47,21,13,8,5.87,61.7,7,4.02,5.3,0.4,25.1,8.4,101.8,8.4,460,0.3,36.9,151.3688829,268.4372839,0.200482732,150.263046
3,(036) Five Island Lake (Palo Alto ) ,8/27/2013 9:16,2013,107,85,38.7,25.3,13.3,2.26,166.4,7,0.07,5.5,0.3,26.3,8.9,87.4,7,350,0.2,33.2,169.3815458,143.8285803,0.706307574,165.3292685
1,(036) Five Island Lake (Palo Alto ) ,6/2/2014 10:42,2014,154,38.1,14.2,7.3,6.9,1.5,66.9,2.8,0.06,5.1,0.9,22.8,8.5,111.8,9.6,460,0.3,12.1,28.1674254,319.2319396,0.710809358,27.11452031
2,(036) Five Island Lake (Palo Alto ) ,7/21/2014 9:20,2014,162,44.6,22.5,11,11.5,1.83,89,2.8,0.58,5.3,0.5,23.6,8.3,99.1,8.4,430,0.3,34.8,25.81363175,215.288635,0.209808765,24.48192836
3,(036) Five Island Lake (Palo Alto ) ,9/1/2014 8:20,2014,145,53,24,14.2,9.8,1.56,168.9,38.5,0.03,5.5,0.4,22.2,8.6,86.1,7.5,390,0.3,29.7,142.6605533,128.5453646,0.140109363,141.894058
1,(036) Five Island Lake (Palo Alto ) ,6/1/2015 10:05,2015,163,11.5,13.4,6,7.4,4.29,44.4,2.2,2.74,5.2,0.9,17.7,8.3,79.9,7.6,520,0.3,10.5,7.585879646,165.2080244,0.756445526,5.501122368
2,(036) Five Island Lake (Palo Alto ) ,7/20/2015 9:00,2015,135,48.8,32.5,16.7,15.8,2.21,102.8,2.2,0.85,5.4,0.4,26.6,8.6,101.7,8.16,430,0.28,31.2,110.2050083,131.294897,0.77584328,109.0843458
3,(036) Five Island Lake (Palo Alto ) ,8/30/2015 9:25,2015,135,54.4,25.5,14.49,11,2.92,102.3,9.1,1.19,5.6,0.5,18.7,8.5,144.1,13.44,410,0.27,31.6,35.48679761,181.8066133,0.276105103,35.10025047
1,(048) Ingham Lake (Emmet ) ,6/14/2000 14:30,,154,56.4,25,11,15,2.19,,,0.35,3,0.48,21.2,8.3,91,8,453,,37,14.20015,,4.1918,8.16122
2,(048) Ingham Lake (Emmet ) ,7/13/2000 0:00,,167,,295,88,207,3.64,,,0.3,2.9,0.35,27.7,8.7,99,7.7,,,53,56.578,311.910474,5.96615,44.52577
3,(048) Ingham Lake (Emmet ) ,8/4/2000 13:00,,146,64.5,57,9,29,2.63,,,0.33,2.7,0.23,25.9,8.8,123,10,440,,66,189.471,169.222794,2.80053,185.61498
1,(048) Ingham Lake (Emmet ) ,5/16/2001 0:00,,130,79.5,20,2,5,2.19,120,,0.3,3.4,0.5,22,9.2,141,12.3,363,,,29.05539,442.033804,0.07824,28.82285
2,(048) Ingham Lake (Emmet ) ,6/13/2001 0:00,,160,2.4,5,0.5,3,2.12,172,,0.51,3,2,22.8,8.1,53,4.6,447,,7,0.56085,8139.205032,0.00493,0.16482
3,(048) Ingham Lake (Emmet ) ,7/18/2001 0:00,,180,135.3,17,0.5,3,2.15,296,,0.14,2.9,0.3,28.3,8.8,113,8.8,828,,65,58.82882,277.488348,,58.63679
1,(048) Ingham Lake (Emmet ) ,5/22/2002 0:00,,137,20.7,0.5,,,2.17,102,2.5,0.25,2.7,0.6,22.5,,114,9.9,462,,29,37.44271,19.406293,0.77676,35.49672
2,(048) Ingham Lake (Emmet ) ,6/19/2002 0:00,,157,82.8,38,6,14,2.12,98,2.5,0.23,3,0.25,22.8,8.5,112,9.7,741,,41,261.20318,188.544735,3.50497,242.06845
3,(048) Ingham Lake (Emmet ) ,7/24/2002 0:00,,108,154.5,33,8,8,2.58,103,2.5,0.23,2.7,0.3,25.8,9.2,118,9.6,432,,55,51.04403,60.456452,1.74207,41.50435
1,(048) Ingham Lake (Emmet ) ,5/21/2003 9:15,,112,24.3,32,0.5,8,2.81,148,2.5,0.21,1.6,0.22,14.7,8.8,114,11.5,439,,61,166.94763,131.854381,,166.94763
2,(048) Ingham Lake (Emmet ) ,6/18/2003 12:20,,91,41.2,45,17,11,3.25,140,2.5,0.06,2.7,0.35,24,8.8,106,8.9,429,,57,123.95497,496.510681,1.19388,119.75318
3,(048) Ingham Lake (Emmet ) ,7/23/2003 13:40,,86,27.7,43,7,15,3.4,131,2.5,0.23,2.8,0.15,24.1,8.6,86,7.3,470,,110,56.48691,256.176743,0.03213,53.99659
1,(048) Ingham Lake (Emmet ) ,5/19/2004 12:30,,135,136.6,64,3,23,3.04,236,4,0.2,2.7,0.25,16.5,9.1,110,10.8,480,,98,306.75361,155.289367,0.76836,291.82726
2,(048) Ingham Lake (Emmet ) ,6/16/2004 10:45,,115,110.4,51,11,21,2.68,141,2,0.21,2.8,0.3,23.5,9.1,107,9,466,,93,402.53794,193.270215,,392.81266
3,(048) Ingham Lake (Emmet ) ,7/21/2004 13:30,,112,160.9,39,18,7,2.57,107,2.5,0.2,3.3,0.25,26.9,8.9,113,9,439,,44,160.72143,251.488238,0.06665,157.61194
1,(048) Ingham Lake (Emmet ) ,5/25/2005 14:40,,128,408.1,,,15,2.74,160,2.5,0.17,2.9,0.3,18.7,9,123,11.5,405,,198,51.14635,163.857597,0.30674,45.15007
2,(048) Ingham Lake (Emmet ) ,6/22/2005 10:00,,130,237.8,28,13,4,2.57,120,2.5,0.14,2.8,0.35,24.8,8.7,122,10.1,417,,2,124.82795,212.867617,0.51611,120.73975
3,(048) Ingham Lake (Emmet ) ,7/25/2005 17:00,,113,441.6,41,5,4,2.92,121,2.5,0.19,2.7,0.3,28.7,8.9,110,8.5,443,,50,157.43242,119.473047,0.49904,154.7205
1,(048) Ingham Lake (Emmet ) ,6/8/2006 15:44,,164,28.4,65,19,35,2.65,230,2.5,0.15,1.8,0.25,24.5,9,177,14.8,401,,73,62.76512,660.819258,1.15752,51.70087
2,(048) Ingham Lake (Emmet ) ,6/22/2006 8:56,,138,41.6,39,7,7,3.16,160,2.5,0.06,2.6,0.29,22.9,9.1,96,8.2,449,,68,53.30247,51.345,0.87547,48.32052
3,(048) Ingham Lake (Emmet ) ,7/27/2006 10:35,,109,89.2,38,34,10,2.68,101,,0.06,2.5,0.3,27,9.3,153,12.2,434,,29,58.47558,995.323118,0.19754,56.83151
1,(048) Ingham Lake (Emmet ) ,5/23/2007 15:13,,96,105.6,36,3,12,2.68,119,2.5,0.29,2.7,0.3,19.8,8.4,66,6,385,,26,111.70756,68.488846,0.22538,104.51595
2,(048) Ingham Lake (Emmet ) ,6/21/2007 8:50,,117,35.3,42,3,7,3,195,2.5,0.29,2.6,0.3,24.2,8.2,89,7.5,423,,26,675.61768,273.936787,0.11282,671.85696
3,(048) Ingham Lake (Emmet ) ,7/25/2007 9:36,,98,81.8,45,,,0.69,189,2.5,0.29,2.4,0.25,26.6,9.1,122,9.8,413,,57,3800.38634,159.64193,0.39886,3799.18353
1,(048) Ingham Lake (Emmet ) ,6/3/2009 17:28,,171,61,32,22,10,2.34,147.8,4.5,0.25,2.7,0.4,20.9,8.9,120.2,10.7,460,,18.7,140.26646,173.664875,1.20065,130.31861
2,(048) Ingham Lake (Emmet ) ,7/7/2009 15:58,,144,31,28.7,26.7,2,2.42,134.5,4.5,0.25,2.7,0.4,25.7,8.9,162,13.2,450,,22.7,104.14932,123.08611,2.63879,100.69397
3,(048) Ingham Lake (Emmet ) ,8/5/2009 7:30,,120,41,40.7,26.2,14.5,2.75,153.3,4.5,0.25,2.7,0.3,23.1,9,77.7,6.6,390,,28.2,276.14543,421.171835,0.68106,261.15358
1,(048) Ingham Lake (Emmet ) ,6/1/2010 11:24,,127,74,8.5,4.5,6,2.48,161.9,4,0.25,2.7,0.2,22.1,8.4,101.5,8.8,420,,23.5,350.9485947,230.979,2.941275989,341.3286673
2,(048) Ingham Lake (Emmet ) ,7/19/2010 10:52,,130,113,43.3,30.7,12.7,3.28295,212.9,4,0.25,2.7,0.2,26.9,8.2,52.2,4.2,430,,33.6,285.1269902,173.1465477,2.02407601,276.5262972
